carat,cut,color,clarity,price,cut_label,clarity_label
0.7,Premium,2,VS1,2782.0,3,4
0.75,Very Good,1,SI2,2782.0,4,3
0.72,Ideal,1,SI1,2782.0,2,2
0.72,Premium,1,SI1,2782.0,3,2
0.7,Premium,1,SI1,2782.0,3,2
0.84,Fair,4,SI1,2782.0,0,2
0.75,Premium,3,SI1,2782.0,3,2
0.52,Ideal,3,IF,2783.0,2,1
0.72,Very Good,3,VS2,2784.0,4,5
0.79,Very Good,5,VS1,2784.0,4,4
0.72,Very Good,3,VS2,2787.0,4,5
0.51,Ideal,3,VVS1,2787.0,2,6
0.64,Ideal,1,VS1,2787.0,2,4
0.7,Very Good,5,VVS1,2788.0,4,6
0.83,Very Good,6,VS1,2788.0,4,4
0.76,Ideal,6,VVS2,2788.0,2,7
0.71,Good,1,VS2,2788.0,1,5
0.77,Good,4,VS1,2788.0,1,4
0.71,Ideal,3,SI1,2788.0,2,2
1.01,Fair,2,I1,2788.0,0,0
1.01,Premium,5,SI2,2788.0,3,3
0.77,Good,3,SI1,2789.0,1,2
0.76,Good,2,SI1,2789.0,1,2
0.76,Premium,2,SI1,2789.0,3,2
1.05,Very Good,7,SI2,2789.0,4,3
0.81,Ideal,4,SI2,2789.0,2,3
0.7,Ideal,2,SI1,2789.0,2,2
0.55,Ideal,4,IF,2789.0,2,1
0.81,Good,4,SI2,2789.0,1,3
0.63,Premium,2,VVS2,2789.0,3,7
0.63,Premium,2,VVS1,2789.0,3,6
0.77,Premium,5,VS1,2789.0,3,4
1.05,Fair,7,SI2,2789.0,0,3
0.64,Ideal,4,IF,2790.0,2,1
0.76,Premium,6,VVS1,2790.0,3,6
0.83,Ideal,3,SI2,2790.0,2,3
0.71,Premium,3,VS1,2790.0,3,4
0.87,Very Good,6,SI1,2791.0,4,2
0.73,Ideal,2,SI1,2791.0,2,2
0.71,Premium,2,SI1,2792.0,3,2
0.71,Ideal,2,SI1,2792.0,2,2
0.7,Premium,3,VS1,2792.0,3,4
0.76,Premium,5,VVS2,2792.0,3,7
0.7,Ideal,3,VS1,2792.0,2,4
0.79,Very Good,4,SI1,2793.0,4,2
0.7,Very Good,2,VS2,2793.0,4,5
0.7,Good,2,VS2,2793.0,1,5
0.76,Ideal,6,VS2,2793.0,2,5
0.73,Ideal,5,VS2,2793.0,2,5
0.79,Very Good,2,SI1,2794.0,4,2
0.71,Very Good,2,VS2,2795.0,4,5
0.81,Premium,6,VVS2,2795.0,3,7
0.81,Ideal,3,SI2,2795.0,2,3
0.72,Good,3,VS1,2795.0,1,4
0.72,Premium,1,SI2,2795.0,3,3
0.72,Premium,6,IF,2795.0,3,1
0.81,Premium,5,VS2,2795.0,3,5
0.72,Premium,4,VS2,2795.0,3,5
1.0,Premium,6,SI2,2795.0,3,3
0.73,Good,2,SI1,2796.0,1,2
0.81,Very Good,5,SI2,2797.0,4,3
0.81,Very Good,2,SI1,2797.0,4,2
0.71,Premium,1,SI1,2797.0,3,2
0.57,Ideal,3,VVS2,2797.0,2,7
0.51,Ideal,1,VVS1,2797.0,2,6
0.72,Ideal,4,VS2,2797.0,2,5
0.74,Ideal,5,VS1,2797.0,2,4
0.7,Fair,4,VVS1,2797.0,0,6
0.8,Premium,3,SI2,2797.0,3,3
1.01,Fair,2,SI2,2797.0,0,3
0.8,Very Good,5,VS2,2797.0,4,5
0.77,Ideal,6,VS1,2798.0,2,4
0.83,Very Good,2,SI2,2799.0,4,3
0.82,Ideal,3,SI2,2799.0,2,3
0.78,Ideal,1,SI1,2799.0,2,2
0.6,Very Good,4,IF,2800.0,4,1
0.9,Good,6,SI2,2800.0,1,3
0.7,Premium,2,VS1,2800.0,3,4
0.9,Very Good,6,SI2,2800.0,4,3
0.83,Ideal,4,SI1,2800.0,2,2
0.83,Very Good,5,SI1,2800.0,4,2
0.74,Premium,4,VS1,2800.0,3,4
0.79,Ideal,6,VS1,2800.0,2,4
0.61,Ideal,4,IF,2800.0,2,1
0.76,Fair,4,VS1,2800.0,0,4
0.96,Ideal,3,I1,2801.0,2,0
0.73,Ideal,3,VS2,2801.0,2,5
0.73,Premium,3,VS2,2801.0,3,5
0.75,Ideal,5,SI1,2801.0,2,2
0.71,Premium,3,VS2,2801.0,3,5
0.71,Good,3,VS2,2801.0,1,5
1.04,Premium,4,I1,2801.0,3,0
1.0,Premium,7,SI2,2801.0,3,3
0.87,Very Good,4,SI2,2802.0,4,3
0.53,Ideal,3,IF,2802.0,2,1
0.72,Premium,2,VS2,2802.0,3,5
0.72,Premium,3,VS1,2802.0,3,4
0.7,Very Good,3,VS2,2803.0,4,5
0.74,Very Good,2,SI1,2803.0,4,2
0.71,Ideal,4,VS2,2803.0,2,5
0.73,Ideal,2,SI1,2803.0,2,2
0.7,Good,4,VS1,2803.0,1,4
0.71,Premium,3,VS2,2803.0,3,5
0.71,Premium,4,VS1,2803.0,3,4
0.77,Premium,4,VS2,2803.0,3,5
0.71,Premium,4,VS2,2803.0,3,5
0.78,Premium,4,VS2,2803.0,3,5
0.71,Very Good,4,VS1,2803.0,4,4
0.91,Ideal,1,SI2,2803.0,2,3
0.71,Very Good,2,VS2,2804.0,4,5
0.8,Very Good,2,SI2,2804.0,4,3
0.7,Very Good,1,SI1,2804.0,4,2
0.72,Ideal,3,VS1,2804.0,2,4
0.72,Very Good,3,VS1,2804.0,4,4
0.82,Ideal,5,VS2,2804.0,2,5
0.7,Ideal,1,SI1,2804.0,2,2
0.72,Ideal,1,SI1,2804.0,2,2
0.9,Fair,6,SI1,2804.0,0,2
0.74,Premium,3,VS2,2805.0,3,5
0.73,Ideal,2,SI2,2805.0,2,3
0.57,Fair,2,VVS1,2805.0,0,6
0.73,Premium,3,VS2,2805.0,3,5
0.72,Ideal,4,VS2,2805.0,2,5
0.74,Fair,3,VS2,2805.0,0,5
0.82,Good,4,VS2,2805.0,1,5
0.81,Very Good,4,SI1,2806.0,4,2
0.75,Very Good,5,VVS1,2806.0,4,6
0.7,Ideal,3,SI1,2806.0,2,2
0.71,Very Good,3,VS1,2807.0,4,4
0.93,Premium,7,SI2,2807.0,3,3
0.8,Very Good,5,VS2,2808.0,4,5
0.7,Very Good,3,VS1,2808.0,4,4
1.0,Fair,4,I1,2808.0,0,0
0.75,Very Good,4,VS2,2808.0,4,5
0.58,Ideal,2,VVS2,2808.0,2,7
0.73,Very Good,1,SI1,2808.0,4,2
0.81,Very Good,3,SI1,2809.0,4,2
0.81,Premium,1,SI2,2809.0,3,3
0.71,Premium,3,SI1,2809.0,3,2
1.2,Fair,3,I1,2809.0,0,0
0.7,Very Good,3,VS1,2810.0,4,4
0.74,Ideal,1,SI2,2810.0,2,3
0.7,Good,3,VS1,2810.0,1,4
0.8,Good,4,SI1,2810.0,1,2
0.75,Very Good,3,SI1,2811.0,4,2
0.83,Very Good,1,SI1,2811.0,4,2
1.0,Fair,7,VS2,2811.0,0,5
0.99,Fair,6,SI2,2811.0,0,3
0.7,Very Good,4,VS1,2812.0,4,4
0.7,Very Good,3,VS2,2812.0,4,5
0.7,Good,2,SI1,2812.0,1,2
0.32,Ideal,6,SI1,554.0,2,2
0.32,Very Good,6,SI1,554.0,4,2
0.3,Ideal,5,SI1,554.0,2,2
0.32,Good,6,SI1,554.0,1,2
0.33,Ideal,5,SI2,554.0,2,3
0.29,Very Good,2,VS1,555.0,4,4
0.31,Very Good,3,SI1,555.0,4,2
0.34,Ideal,5,VS2,555.0,2,5
0.34,Ideal,6,VS1,555.0,2,4
0.3,Ideal,4,VS1,555.0,2,4
0.29,Ideal,3,VS1,555.0,2,4
0.35,Ideal,4,SI1,555.0,2,2
0.43,Very Good,2,I1,555.0,4,0
0.32,Very Good,3,VS2,556.0,4,5
0.36,Ideal,6,VS2,556.0,2,5
0.3,Ideal,4,VS2,556.0,2,5
0.26,Ideal,2,VS1,556.0,2,4
0.71,Ideal,1,SI1,2812.0,2,2
0.99,Fair,7,SI1,2812.0,0,2
0.73,Premium,2,VS2,2812.0,3,5
0.51,Ideal,3,VVS1,2812.0,2,6
0.91,Premium,4,SI2,2813.0,3,3
0.84,Very Good,2,SI1,2813.0,4,2
0.91,Good,6,VS2,2813.0,1,5
0.76,Premium,2,SI1,2814.0,3,2
0.76,Ideal,2,SI1,2814.0,2,2
0.75,Premium,2,SI1,2814.0,3,2
0.55,Very Good,1,VVS1,2815.0,4,6
0.76,Very Good,3,SI2,2815.0,4,3
0.74,Premium,4,VS1,2815.0,3,4
0.7,Ideal,5,SI1,2815.0,2,2
0.9,Fair,7,VS2,2815.0,0,5
0.95,Fair,3,SI2,2815.0,0,3
0.89,Premium,5,SI2,2815.0,3,3
0.72,Premium,2,VS2,2815.0,3,5
0.96,Fair,2,SI2,2815.0,0,3
1.02,Premium,4,I1,2815.0,3,0
0.78,Very Good,6,VVS2,2816.0,4,7
0.61,Ideal,4,VVS2,2816.0,2,7
0.71,Good,1,VS1,2816.0,1,4
0.78,Premium,3,SI1,2816.0,3,2
0.87,Ideal,5,SI2,2816.0,2,3
0.83,Ideal,5,SI1,2816.0,2,2
0.71,Premium,2,SI1,2817.0,3,2
0.71,Ideal,6,VVS2,2817.0,2,7
0.71,Ideal,2,VS2,2817.0,2,5
0.71,Premium,2,VS2,2817.0,3,5
0.63,Ideal,3,VVS2,2817.0,2,7
0.71,Ideal,2,SI1,2817.0,2,2
0.9,Ideal,7,VS2,2817.0,2,5
0.71,Good,2,SI1,2817.0,1,2
0.7,Premium,2,VS2,2818.0,3,5
1.0,Premium,5,I1,2818.0,3,0
0.86,Premium,3,SI2,2818.0,3,3
0.8,Ideal,5,SI1,2818.0,2,2
0.7,Ideal,2,VS1,2818.0,2,4
0.7,Premium,2,VS1,2818.0,3,4
0.7,Premium,3,VS2,2818.0,3,5
1.0,Fair,5,SI2,2818.0,0,3
0.72,Very Good,4,VS1,2819.0,4,4
0.72,Ideal,5,VS1,2819.0,2,4
0.7,Good,3,VS1,2819.0,1,4
0.86,Good,3,SI2,2819.0,1,3
0.71,Ideal,4,VS1,2820.0,2,4
0.75,Ideal,2,SI1,2821.0,2,2
0.73,Premium,2,VS2,2821.0,3,5
0.53,Ideal,2,VVS1,2821.0,2,6
0.73,Premium,2,SI1,2821.0,3,2
0.73,Good,2,SI1,2821.0,1,2
0.73,Premium,1,SI1,2821.0,3,2
0.73,Very Good,2,SI1,2821.0,4,2
0.7,Premium,2,VS1,2822.0,3,4
0.72,Premium,2,VS2,2822.0,3,5
0.7,Premium,2,VS2,2822.0,3,5
0.6,Ideal,3,VVS2,2822.0,2,7
0.74,Ideal,6,VVS1,2822.0,2,6
0.73,Ideal,3,SI1,2822.0,2,2
0.71,Premium,1,SI1,2822.0,3,2
0.7,Premium,1,SI1,2822.0,3,2
0.7,Ideal,1,SI1,2822.0,2,2
0.9,Good,7,VS2,2822.0,1,5
0.71,Ideal,1,SI1,2822.0,2,2
0.7,Good,2,SI1,2822.0,1,2
0.7,Premium,3,VS2,2822.0,3,5
0.79,Very Good,1,SI2,2823.0,4,3
0.9,Good,6,SI1,2823.0,1,2
0.71,Premium,2,VS2,2823.0,3,5
0.61,Ideal,2,VVS2,2823.0,2,7
0.9,Fair,5,SI2,2823.0,0,3
0.71,Ideal,2,SI1,2823.0,2,2
0.71,Premium,1,VS2,2824.0,3,5
0.77,Ideal,6,VVS2,2824.0,2,7
0.74,Good,2,VS1,2824.0,1,4
0.82,Ideal,3,SI2,2824.0,2,3
0.82,Premium,2,SI2,2824.0,3,3
0.71,Premium,4,VS1,2825.0,3,4
0.83,Premium,5,SI1,2825.0,3,2
0.73,Very Good,4,VS1,2825.0,4,4
1.17,Premium,7,I1,2825.0,3,0
0.91,Fair,5,SI2,2825.0,0,3
0.73,Premium,2,VS1,2826.0,3,4
0.7,Good,2,VS1,2826.0,1,4
0.9,Premium,6,SI2,2826.0,3,3
0.7,Premium,2,VS1,2826.0,3,4
0.7,Very Good,1,VS2,2826.0,4,5
0.9,Very Good,6,SI2,2826.0,4,3
0.78,Premium,3,SI1,2826.0,3,2
0.96,Ideal,3,I1,2826.0,2,0
0.7,Very Good,1,SI1,2827.0,4,2
0.72,Good,1,VS2,2827.0,1,5
0.79,Premium,5,VVS2,2827.0,3,7
0.7,Ideal,5,VVS1,2827.0,2,6
0.7,Ideal,1,SI2,2828.0,2,3
1.01,Premium,5,SI2,2828.0,3,3
0.72,Premium,3,VS1,2829.0,3,4
0.8,Good,2,SI2,2829.0,1,3
0.59,Ideal,2,VVS1,2829.0,2,6
0.72,Ideal,3,VS1,2829.0,2,4
0.75,Premium,2,SI2,2829.0,3,3
0.8,Premium,2,SI2,2829.0,3,3
0.71,Very Good,2,VS2,2830.0,4,5
0.77,Very Good,5,SI1,2830.0,4,2
0.97,Ideal,3,I1,2830.0,2,0
0.53,Ideal,3,VVS1,2830.0,2,6
0.8,Ideal,6,VS2,2830.0,2,5
0.9,Premium,4,SI1,2830.0,3,2
0.76,Very Good,2,SI2,2831.0,4,3
0.72,Ideal,2,SI1,2831.0,2,2
0.75,Ideal,2,SI1,2831.0,2,2
0.72,Premium,2,SI1,2831.0,3,2
0.79,Ideal,4,SI1,2831.0,2,2
0.72,Very Good,3,VS2,2832.0,4,5
0.91,Very Good,6,SI2,2832.0,4,3
0.71,Premium,4,VVS2,2832.0,3,7
0.81,Premium,4,SI1,2832.0,3,2
0.82,Ideal,5,SI1,2832.0,2,2
0.71,Premium,3,VS1,2832.0,3,4
0.9,Good,7,SI1,2832.0,1,2
0.8,Very Good,6,VS2,2833.0,4,5
0.56,Very Good,2,IF,2833.0,4,1
0.7,Very Good,1,VS2,2833.0,4,5
0.7,Ideal,1,VS2,2833.0,2,5
0.61,Ideal,3,VVS2,2833.0,2,7
0.85,Ideal,5,SI2,2833.0,2,3
0.7,Ideal,3,SI1,2833.0,2,2
0.8,Ideal,4,VS2,2834.0,2,5
0.8,Ideal,5,VS2,2834.0,2,5
0.51,Very Good,1,VVS1,2834.0,4,6
0.53,Ideal,3,VVS1,2834.0,2,6
0.78,Ideal,6,VS2,2834.0,2,5
0.9,Very Good,7,SI1,2834.0,4,2
0.9,Fair,4,SI2,2834.0,0,3
0.77,Ideal,2,SI2,2834.0,2,3
0.73,Ideal,3,VS1,2835.0,2,4
0.63,Ideal,3,VVS2,2835.0,2,7
0.7,Ideal,2,VS2,2835.0,2,5
0.72,Ideal,2,VS2,2835.0,2,5
0.72,Ideal,2,SI1,2835.0,2,2
0.75,Premium,3,VS2,2835.0,3,5
0.82,Very Good,5,SI1,2836.0,4,2
0.71,Good,2,VS2,2836.0,1,5
0.7,Premium,2,VS1,2837.0,3,4
0.7,Ideal,2,VS1,2837.0,2,4
0.71,Ideal,3,SI1,2838.0,2,2
0.76,Very Good,5,SI1,2838.0,4,2
0.82,Fair,3,SI1,2838.0,0,2
0.72,Premium,3,VS1,2838.0,3,4
0.7,Premium,3,VS2,2838.0,3,5
0.7,Premium,4,VS1,2838.0,3,4
0.7,Very Good,2,SI1,2838.0,4,2
0.74,Very Good,2,SI1,2839.0,4,2
0.71,Ideal,3,VS1,2839.0,2,4
0.7,Ideal,3,VS1,2839.0,2,4
0.71,Premium,3,VS1,2839.0,3,4
0.73,Ideal,4,VS2,2839.0,2,5
0.7,Ideal,2,VS2,2839.0,2,5
0.7,Ideal,4,VS1,2839.0,2,4
0.71,Premium,4,VVS2,2839.0,3,7
0.79,Premium,4,VS2,2839.0,3,5
0.77,Very Good,5,VS1,2840.0,4,4
0.75,Very Good,3,SI2,2840.0,4,3
0.7,Ideal,3,SI1,2840.0,2,2
0.71,Premium,3,VS2,2840.0,3,5
0.92,Ideal,1,SI2,2840.0,2,3
0.83,Premium,3,SI2,2840.0,3,3
0.7,Premium,5,VVS1,2840.0,3,6
0.73,Premium,3,VS2,2841.0,3,5
0.71,Very Good,1,VS1,2841.0,4,4
0.73,Very Good,1,SI1,2841.0,4,2
0.82,Ideal,3,SI2,2841.0,2,3
0.82,Very Good,3,SI2,2841.0,4,3
0.52,Ideal,3,VVS1,2841.0,2,6
1.0,Premium,3,I1,2841.0,3,0
0.95,Fair,4,SI1,2841.0,0,2
0.73,Ideal,1,SI1,2841.0,2,2
0.73,Premium,4,VS1,2841.0,3,4
0.8,Ideal,6,VS1,2842.0,2,4
0.7,Premium,3,VS2,2842.0,3,5
0.7,Very Good,2,VS2,2843.0,4,5
0.71,Very Good,2,VS2,2843.0,4,5
0.81,Very Good,3,SI2,2843.0,4,3
0.71,Very Good,1,SI1,2843.0,4,2
0.73,Ideal,4,VVS2,2843.0,2,7
0.73,Very Good,3,VS1,2843.0,4,4
0.72,Ideal,2,VS2,2843.0,2,5
0.81,Ideal,3,SI2,2843.0,2,3
0.71,Ideal,4,VVS2,2843.0,2,7
0.73,Very Good,2,SI1,2844.0,4,2
0.7,Very Good,2,VS1,2844.0,4,4
1.01,Ideal,6,I1,2844.0,2,0
1.01,Good,6,I1,2844.0,1,0
0.79,Ideal,5,VS2,2844.0,2,5
0.7,Very Good,2,VS2,2845.0,4,5
0.8,Good,5,VS2,2845.0,1,5
1.27,Premium,5,SI2,2845.0,3,3
0.79,Ideal,1,SI1,2846.0,2,2
0.72,Very Good,3,VS1,2846.0,4,4
0.73,Ideal,5,VVS2,2846.0,2,7
1.01,Fair,5,SI2,2846.0,0,3
1.01,Good,5,I1,2846.0,1,0
0.73,Ideal,2,SI1,2846.0,2,2
0.7,Ideal,2,SI1,2846.0,2,2
0.7,Good,3,VS2,2846.0,1,5
0.77,Premium,2,SI1,2846.0,3,2
0.77,Premium,4,VS2,2846.0,3,5
0.77,Premium,4,VS1,2846.0,3,4
0.84,Very Good,5,SI1,2847.0,4,2
0.72,Ideal,2,SI1,2847.0,2,2
0.76,Premium,1,SI1,2847.0,3,2
0.7,Very Good,4,VVS2,2848.0,4,7
0.54,Ideal,1,VVS2,2848.0,2,7
0.75,Fair,1,SI2,2848.0,0,3
0.79,Good,2,SI1,2849.0,1,2
0.74,Very Good,2,VS1,2849.0,4,4
0.7,Very Good,2,VS2,2850.0,4,5
0.7,Ideal,3,VS2,2850.0,2,5
0.75,Ideal,7,SI1,2850.0,2,2
1.2,Very Good,5,I1,2850.0,4,0
0.8,Very Good,3,SI1,2851.0,4,2
0.66,Ideal,1,VS1,2851.0,2,4
0.87,Very Good,3,SI2,2851.0,4,3
0.86,Premium,5,SI1,2851.0,3,2
0.74,Ideal,3,SI1,2851.0,2,2
0.58,Very Good,2,IF,2852.0,4,1
0.78,Ideal,6,VS1,2852.0,2,4
0.74,Ideal,4,SI1,2852.0,2,2
0.73,Ideal,2,SI1,2852.0,2,2
0.91,Very Good,6,SI1,2852.0,4,2
0.71,Premium,3,VS2,2853.0,3,5
0.71,Good,4,VS1,2853.0,1,4
